,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
2,Red Hot Chili Peppers,Red Hot Chili Peppers,United States,rock; alternative rock; 80s; 90s; rap; metal; american; crossover; usa; funk; funk rock; alternative; pop rock; funk metal; rap rock; 00s; dvd; pop and chart; 10s; funk rock tributo,rock; alternative rock; alternative; Funk Rock; funk; seen live; Red Hot Chili Peppers; punk; american; indie; 90s; California; rhcp; crossover; classic rock; hard rock; pop; 80s; funk metal; punk rock; metal; indie rock; USA; 00s; pop rock; funky; Grunge; male vocalists; favorites
3,Rihanna,Rihanna,United States,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,pop; rnb; female vocalists; dance; Hip-Hop; Rihanna; r&b; seen live; reggae; hip hop; sexy; female; female vocalist; american; dancehall; barbados; soul; barbadian; electronic; 00s; dance-pop; club; urban; r'n'b; guilty pleasure; electropop; hot; party; rhythm and blues; dance pop; Love; diva; beautiful; rock; USA; pop rock; mainstream; r and b; Guilty Pleasures; hiphop; legend; bitch; rap; House; alternative; amazing; english; Britney Spears; umbrella
4,Eminem,Eminem,United States,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,rap; Hip-Hop; Eminem; hip hop; pop; american; detroit; seen live; hiphop; Gangsta Rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; USA; singer-songwriter; Shady; d12; emo; Horrorcore; Aftermath; dance; Michigan; white rap
6,Kanye West,Kanye West,United States,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,Hip-Hop; rap; hip hop; rnb; Kanye West; seen live; Gay Fish; american; pop; chicago; hiphop; soul; electronic; gayfish; producer; alternative; male vocalists; 00s; kanye; indie; rock; urban; experimental; dance; r&b; pop rap; alternative rap; electronica; alternative hip-hop; USA; good music; midwest rap
11,Linkin Park,Linkin Park,United States,rock; alternative rock; industrial rock; metal; american; hip hop; usa; nu metal; new metal; américain; alternative metal; pop rock; rapcore; rap metal; rap rock; alt rock; nu-metal; rock and indie; united states; roxette; the greatest,rock; Nu Metal; alternative rock; alternative; metal; seen live; rapcore; Linkin Park; Nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; Hip-Hop; pop rock; USA; punk rock; lp; 00s; new metal; favorites; NOT METAL; indie; linkin; shit; California; electronic rock; Rap-Rock
16,Katy Perry,Katy Perry,United States,rock; pop; house; american; usa; electropop; américain; dance-pop; pop rock; united states; cute; katy perry; multiple ipi; bubblegum; california gurls; ur so fail; fail; trap; lame; her expression is like shes thinking something dumb; nope still fail; still fail; lolol trap?; megafail; failfail; ur so fail; ur so faaaail; chesty; ‟ur so fail”; total fail; ur so lame; i'm gay if i am shut up; katy perry is gay; megalmaestupiddumb; also fail; what's wrong with being gay? gay; uncool,pop; female vocalists; pop rock; indie; rock; katy perry; american; dance; seen live; female vocalist; sexy; electronic; electropop; singer-songwriter; female; alternative; guilty pleasure; 00s; katy; USA; hot; fun; Love; bitch; beautiful; cool; mainstream; dance-pop; Pop-Rock; diva; amazing; female vocals; catchy; California; dance pop; indie rock; Guilty Pleasures; rnb; Awesome; I Kissed a Girl; indie pop; female vocal; legend
19,Gorillaz,Gorillaz,United Kingdom,trip-hop; rock; electronic; alternative rock; fictional; hip-hop; british; hip hop; uk; electronica; electropop; producer; trip rock; alternative hip-hop; alternative dance; english; trip hop; parlophone; producteur; rock and indie; gorillaz; virtual band,alternative; electronic; Hip-Hop; rock; indie; trip-hop; electronica; pop; british; alternative rock; hip hop; gorillaz; experimental; seen live; britpop; rap; indie rock; dance; trip hop; funk; chillout; 00s; UK; alternative hip-hop; dub; punk; electro; damon albarn; indie pop; metal; alternative rap; english; virtual; downtempo; favorites; punk rock; alternative hip hop
20,Beyoncé,Beyoncé,United States,pop; hard rock; funk; country; soul; electropop; rnb; dance-pop; pop rap; hip hop rnb and dance hall; grammy winner; r&b; contemporary r&b; mbs-333; art pop; alternative r&b; moombahton; contemporary pop,rnb; pop; female vocalists; soul; Hip-Hop; beyonce; dance; r&b; american; sexy; Officially Shit; Shakira; seen live; diva; bitch; female; shakira wannabe; hip hop; shit; whore; overrated; female vocalist; all things annoying in the world put together into one stupid bitch; cunt; talentless; 00s; urban; Crap; animal cruelty; your ears will bleed; bimbo; rhythm and blues; boring; wack; singer-songwriter; USA; Love; legend; funk; r and b; rap; officially shallow; beautiful; jazz; r'n'b; amazing; black music; hot; dance-pop; constant lip syncher; Brutal Death Metal; hiphop; party; electronic; contemporary rnb; Fierce; texas; english; Favorite Artists; guilty pleasure; bootylicious; destinys child; Beyonce knowles; Queen; alternative; cool; dance pop; Rihanna; club; Guilty Pleasures; fun; great voice; Halo
27,Drake,Drake,Canada,hip hop; pop rap; rapper; contemporary r&b; alternative r&b; trap rap; rap us; hardcore hip; cotm candidate,Hip-Hop; rap; rnb; hip hop; Canadian; Drake; seen live; r&b; pop; young money; male vocalists; canada; indie; toronto; drizzy; pop rap; Lil Wayne; soul; sexy; alternative rap; Degrassi; hiphop; Kanye West; alternative hip-hop; Hip Hop/Rap; contemporary rnb; alternative rnb; urban; lyrical; swag; trey songz; chill; 00s; 10s; YMCMB
29,The Black Eyed Peas,Black Eyed Peas,United States,pop; electropop; dance-pop; pop rap; electro house; fergie; pop and chart; west coast hip hop; will i am; conscious hip hop; a filk artist,Hip-Hop; pop; rnb; rap; hip hop
